	distance	word_pos	sent_pos	sent_nr	subj_nr	token	resolved	rt_fp	spill_fp	inverse_distance	clean_token	reflexive	ana_category	multiple_drefs	word_length	num_prev_anas	target_skipped	spill_skipped
0	?	5	53	14	1	his	0	220	160	?	his	False	P	False	3	0	0	0
1	?	5	29	14	2	his	0	88	0	?	his	False	P	False	3	0	0	1
2	?	5	193	14	3	his	0	576	0	?	his	False	P	False	3	0	0	1
3	?	5	177	14	4	his	0	548	0	?	his	False	P	False	3	0	0	1
4	?	5	4	14	5	his	0	236	712	?	his	False	P	False	3	0	0	0
5	?	5	5	14	6	his	0	368	0	?	his	False	P	False	3	0	0	1
7	?	5	4	14	8	his	0	340	184	?	his	False	P	False	3	0	0	0
8	?	5	60	14	10	his	0	192	156	?	his	False	P	False	3	0	0	0
9	?	5	10	14	11	his	0	148	396	?	his	False	P	False	3	0	0	0
10	?	5	201	14	12	his	0	288	0	?	his	False	P	False	3	0	0	1
13	?	5	155	14	15	his	0	132	0	?	his	False	P	False	3	0	0	1
14	?	5	181	14	16	his	0	556	1024	?	his	False	P	False	3	0	0	0
15	?	5	17	14	17	his	0	296	128	?	his	False	P	False	3	0	0	0
16	?	5	108	14	18	his	0	240	0	?	his	False	P	False	3	0	0	1
17	?	5	200	14	19	his	0	220	68	?	his	False	P	False	3	0	0	0
18	?	5	54	14	20	his	0	248	192	?	his	False	P	False	3	0	0	0
21	?	5	92	14	23	his	0	192	256	?	his	False	P	False	3	0	0	0
22	?	5	175	14	24	his	0	272	0	?	his	False	P	False	3	0	0	1
23	?	5	154	14	25	his	0	148	104	?	his	False	P	False	3	0	0	0
24	?	5	166	14	27	his	0	128	528	?	his	False	P	False	3	0	0	0
25	?	5	127	14	28	his	0	820	188	?	his	False	P	False	3	0	0	0
26	?	5	74	14	29	his	0	284	728	?	his	False	P	False	3	0	0	0
27	?	5	173	14	30	his	0	248	312	?	his	False	P	False	3	0	0	0
29	?	5	78	14	32	his	0	280	0	?	his	False	P	False	3	0	0	1
30	?	5	142	14	33	his	0	132	196	?	his	False	P	False	3	0	0	0
31	?	5	1	14	34	his	0	296	0	?	his	False	P	False	3	0	0	1
32	?	5	1	14	35	his	0	144	632	?	his	False	P	False	3	0	0	0
33	?	5	115	14	36	his	0	152	0	?	his	False	P	False	3	0	0	1
34	?	5	126	14	37	his	0	456	256	?	his	False	P	False	3	0	0	0
35	?	5	108	14	38	his	0	188	296	?	his	False	P	False	3	0	0	0
36	?	5	96	14	39	his	0	224	180	?	his	False	P	False	3	0	0	0
37	?	5	160	14	41	his	0	232	100	?	his	False	P	False	3	0	0	0
39	?	5	163	14	43	his	0	164	0	?	his	False	P	False	3	0	0	1
41	?	6	107	35	2	this	0	148	636	?	this	False	O	False	4	0	0	0
42	?	6	92	35	3	this	0	200	404	?	this	False	O	False	4	0	0	0
43	?	6	199	35	4	this	0	304	0	?	this	False	O	False	4	0	0	1
44	?	6	88	35	5	this	0	140	140	?	this	False	O	False	4	0	0	0
46	?	6	15	35	7	this	0	124	132	?	this	False	O	False	4	0	0	0
47	?	6	38	35	8	this	0	220	348	?	this	False	O	False	4	0	0	0
48	?	6	159	35	10	this	0	152	180	?	this	False	O	False	4	0	0	0
49	?	6	18	35	11	this	0	732	0	?	this	False	O	False	4	0	0	1
50	?	6	195	35	12	this	0	244	0	?	this	False	O	False	4	0	0	1
51	?	6	80	35	13	this	0	248	68	?	this	False	O	False	4	0	0	0
52	?	6	62	35	14	this	0	196	0	?	this	False	O	False	4	0	0	1
54	?	6	34	35	16	this	0	236	768	?	this	False	O	False	4	0	0	0
57	?	6	153	35	19	this	0	228	0	?	this	False	O	False	4	0	0	1
60	?	6	198	35	22	this	0	192	296	?	this	False	O	False	4	0	0	0
61	?	6	168	35	23	this	0	208	576	?	this	False	O	False	4	0	0	0
63	?	6	186	35	25	this	0	192	240	?	this	False	O	False	4	0	0	0
64	?	6	81	35	27	this	0	216	0	?	this	False	O	False	4	0	0	1
65	?	6	203	35	28	this	0	1724	340	?	this	False	O	False	4	0	0	0
67	?	6	144	35	30	this	0	244	400	?	this	False	O	False	4	0	0	0
70	?	6	115	35	33	this	0	192	288	?	this	False	O	False	4	0	0	0
72	?	6	14	35	35	this	0	172	232	?	this	False	O	False	4	0	0	0
74	?	6	175	35	37	this	0	540	0	?	this	False	O	False	4	0	0	1
78	?	6	200	35	41	this	0	608	0	?	this	False	O	False	4	0	0	1
80	?	6	166	35	43	this	0	312	252	?	this	False	O	False	4	0	0	0
84	?	6	151	36	4	us	0	192	944	?	us	False	O	False	2	0	0	0
85	?	6	159	36	5	us	0	252	0	?	us	False	O	False	2	0	0	1
88	?	6	112	36	8	us	0	180	344	?	us	False	O	False	2	0	0	0
89	?	6	191	36	10	us	0	208	1300	?	us	False	O	False	2	0	0	0
90	?	6	173	36	11	us	0	284	276	?	us	False	O	False	2	0	0	0
94	?	6	144	36	15	us	0	180	748	?	us	False	O	False	2	0	0	0
95	?	6	55	36	16	us	0	548	552	?	us	False	O	False	2	0	0	0
98	?	6	4	36	19	us	0	228	60	?	us	False	O	False	2	0	0	0
102	?	6	33	36	23	us	0	176	216	?	us	False	O	False	2	0	0	0
105	?	6	188	36	27	us	0	300	436	?	us	False	O	False	2	0	0	0
108	?	6	5	36	30	us	0	144	168	?	us	False	O	False	2	0	0	0
109	?	6	104	36	31	us	0	140	208	?	us	False	O	False	2	0	0	0
111	?	6	198	36	33	us	0	148	108	?	us	False	O	False	2	0	0	0
114	?	6	78	36	36	us	0	256	160	?	us	False	O	False	2	0	0	0
115	?	6	134	36	37	us	0	112	536	?	us	False	O	False	2	0	0	0
118	?	6	200	36	40	us	0	140	88	?	us	False	O	False	2	0	0	0
120	?	6	176	36	42	us	0	256	312	?	us	False	O	False	2	0	0	0
121	?	6	49	36	43	us	0	248	608	?	us	False	O	False	2	0	0	0
122	?	3	118	39	1	him	0	144	192	?	him	False	O	False	3	0	0	0
124	?	3	71	39	3	him	0	144	332	?	him	False	O	False	3	0	0	0
128	?	3	106	39	7	him	0	72	132	?	him	False	O	False	3	0	0	0
129	?	3	65	39	8	him	0	204	276	?	him	False	O	False	3	0	0	0
130	?	3	3	39	10	him	0	92	124	?	him	False	O	False	3	0	0	0
131	?	3	44	39	11	him	0	152	112	?	him	False	O	False	3	0	0	0
133	?	3	113	39	13	him	0	244	152	?	him	False	O	False	3	0	0	0
136	?	3	96	39	16	him	0	184	356	?	him	False	O	False	3	0	0	0
137	?	3	122	39	17	him	0	260	0	?	him	False	O	False	3	0	0	1
139	?	3	66	39	19	him	0	168	120	?	him	False	O	False	3	0	0	0
142	?	3	140	39	22	him	0	176	292	?	him	False	O	False	3	0	0	0
143	?	3	150	39	23	him	0	192	244	?	him	False	O	False	3	0	0	0
144	?	3	64	39	24	him	0	296	160	?	him	False	O	False	3	0	0	0
146	?	3	190	39	27	him	0	232	296	?	him	False	O	False	3	0	0	0
147	?	3	78	39	28	him	0	356	216	?	him	False	O	False	3	0	0	0
150	?	3	127	39	31	him	0	208	68	?	him	False	O	False	3	0	0	0
151	?	3	82	39	32	him	0	188	244	?	him	False	O	False	3	0	0	0
152	?	3	82	39	33	him	0	180	252	?	him	False	O	False	3	0	0	0
153	?	3	22	39	34	him	0	456	248	?	him	False	O	False	3	0	0	0
154	?	3	86	39	35	him	0	156	168	?	him	False	O	False	3	0	0	0
155	?	3	9	39	36	him	0	248	0	?	him	False	O	False	3	0	0	1
156	?	3	103	39	37	him	0	132	180	?	him	False	O	False	3	0	0	0
162	?	3	131	39	43	him	0	172	188	?	him	False	O	False	3	0	0	0
163	?	2	146	50	1	they	0	192	124	?	they	False	O	True	4	0	0	0
164	?	2	53	50	2	they	0	204	308	?	they	False	O	True	4	0	0	0
165	?	2	86	50	3	they	0	184	296	?	they	False	O	True	4	0	0	0
169	?	2	159	50	7	they	0	140	180	?	they	False	O	True	4	0	0	0
170	?	2	196	50	8	they	0	156	164	?	they	False	O	True	4	0	0	0
171	?	2	93	50	10	they	0	272	304	?	they	False	O	True	4	0	0	0
172	?	2	19	50	11	they	0	140	160	?	they	False	O	True	4	0	0	0
173	?	2	162	50	12	they	0	156	132	?	they	False	O	True	4	0	0	0
174	?	2	35	50	13	they	0	248	256	?	they	False	O	True	4	0	0	0
175	?	2	102	50	14	they	0	172	0	?	they	False	O	True	4	0	0	1
176	?	2	106	50	15	they	0	156	0	?	they	False	O	True	4	0	0	1
177	?	2	118	50	16	they	0	384	184	?	they	False	O	True	4	0	0	0
178	?	2	144	50	17	they	0	180	160	?	they	False	O	True	4	0	0	0
180	?	2	199	50	19	they	0	176	180	?	they	False	O	True	4	0	0	0
181	?	2	179	50	20	they	0	136	140	?	they	False	O	True	4	0	0	0
183	?	2	118	50	22	they	0	292	148	?	they	False	O	True	4	0	0	0
184	?	2	82	50	23	they	0	140	284	?	they	False	O	True	4	0	0	0
186	?	2	163	50	25	they	0	244	156	?	they	False	O	True	4	0	0	0
187	?	2	42	50	27	they	0	256	276	?	they	False	O	True	4	0	0	0
188	?	2	61	50	28	they	0	264	524	?	they	False	O	True	4	0	0	0
189	?	2	118	50	29	they	0	188	188	?	they	False	O	True	4	0	0	0
190	?	2	108	50	30	they	0	256	580	?	they	False	O	True	4	0	0	0
192	?	2	158	50	32	they	0	232	260	?	they	False	O	True	4	0	0	0
193	?	2	148	50	33	they	0	364	172	?	they	False	O	True	4	0	0	0
195	?	2	152	50	35	they	0	164	156	?	they	False	O	True	4	0	0	0
196	?	2	141	50	36	they	0	196	124	?	they	False	O	True	4	0	0	0
197	?	2	135	50	37	they	0	104	144	?	they	False	O	True	4	0	0	0
198	?	2	142	50	38	they	0	308	0	?	they	False	O	True	4	0	0	1
199	?	2	174	50	39	they	0	176	0	?	they	False	O	True	4	0	0	1
202	?	2	37	50	42	they	0	172	148	?	they	False	O	True	4	0	0	0
203	?	2	169	50	43	they	0	192	184	?	they	False	O	True	4	0	0	0
204	?	3	198	59	1	he	0	204	224	?	he	False	O	False	2	0	0	0
205	?	3	32	59	2	he	0	132	0	?	he	False	O	False	2	0	0	1
