sent_nr	indexed_anaphoras
3	[(0, 'He', '?', None, None, '0'), (3, 'his', '-3', 0, 'He', '3')]
4	[(0, 'He', '?', None, None, '0')]
10	[(0, 'This', '?', None, None, '0')]
14	[(4, 'his', '?', None, None, '4')]
16	[(2, 'his', '-2', 0, 'Gordon', '2')]
17	[(3, 'his', '-3', 0, 'Harry', '3')]
18	[(0, 'He', '?', None, None, '0'), (4, 'his', '-4', 0, 'He', '4')]
19	[(0, 'He', '?', None, None, '0')]
20	[(0, 'He', '?', None, None, '0'), (2, 'his', '-2', 0, 'He', '2')]
21	"[(0, ""He's"", '?', None, None, '0'), (2, 'his', '-2', 0, ""He's"", '2')]"
23	[(5, 'it.', '?', None, None, '5')]
25	[(5, 'this.', '?', None, None, '5')]
28	[(0, 'She', '?', None, None, '0')]
30	[(5, 'itself.', '-4', 1, 'campaign', '5')]
31	"[(0, ""They're"", '?', None, None, '0'), (5, 'them.', '?', None, None, '5')]"
32	[(0, 'We', '?', None, None, '0'), (4, 'our', '-4', 0, 'We', '4')]
33	"[(0, ""We've"", '?', None, None, '0')]"
35	[(5, 'this', '?', None, None, '5')]
36	[(5, 'us', '?', None, None, '5')]
37	[(0, 'He', '?', None, None, '0')]
38	[(0, 'He', '?', None, None, '0')]
39	[(2, 'him', '?', None, None, '2')]
42	[(4, 'he', '-4', 0, 'Sam', '4')]
43	[(5, 'his', '-5', 0, 'Scott', '5')]
45	[(5, 'his', '-5', 0, 'Steve', '5')]
46	[(4, 'his', '-4', 0, 'Ted', '4')]
47	[(5, 'his', '-5', 0, 'Thomas', '5')]
48	[(5, 'his', '-5', 0, 'Tom', '5')]
49	[(4, 'his', '-4', 0, 'Tony', '4')]
50	[(1, 'they', '?', None, None, '1')]
51	[(6, 'that.', '?', None, None, '6')]
52	[(0, 'She', '?', None, None, '0'), (5, 'her', '-5', 0, 'She', '5')]
53	[(0, 'She', '?', None, None, '0')]
57	[(6, 'that.', '-5', 1, 'van', '6')]
59	[(2, 'he', '?', None, None, '2'), (5, 'he', '-3', 2, 'he', '5')]
62	[(6, 'their', '?', None, None, '6')]
63	[(0, 'He', '?', None, None, '0'), (4, 'she', '?', None, None, '4')]
64	[(0, 'He', '?', None, None, '0')]
65	[(0, 'He', '?', None, None, '0')]
66	[(0, 'He', '?', None, None, '0'), (6, 'his', '-6', 0, 'He', '6')]
69	[(1, 'us', '?', None, None, '1')]
71	[(6, 'his', '-6', 0, 'William', '6')]
72	[(7, 'himself.', '-7', 0, 'Alec', '7')]
74	[(7, 'that.', '?', None, None, '7')]
75	[(0, 'She', '?', None, None, '0'), (6, 'his', '?', None, None, '6')]
76	[(0, 'She', '?', None, None, '0')]
82	[(0, 'They', '?', None, None, '0')]
83	[(8, 'it.', '-6', 2, 'teaches', '8')]
84	[(1, 'him', '?', None, None, '1'), (6, 'him', '-5', 1, 'him', '6')]
87	[(0, 'He', '?', None, None, '0'), (2, 'his', '-2', 0, 'He', '2')]
88	[(0, 'He', '?', None, None, '0'), (7, 'his', '-7', 0, 'He', '7')]
89	[(0, 'He', '?', None, None, '0'), (3, 'he', '-3', 0, 'He', '3'), (7, 'his', '-4', 3, 'he', '7')]
90	[(0, 'He', '?', None, None, '0'), (2, 'his', '-2', 0, 'He', '2'), (7, 'his', '-5', 2, 'his', '7')]
91	[(0, 'He', '?', None, None, '0')]
92	[(0, 'He', '?', None, None, '0'), (3, 'she', '?', None, None, '3')]
93	[(0, 'He', '?', None, None, '0'), (4, 'his', '-4', 0, 'He', '4')]
95	[(0, 'It', '?', None, None, '0')]
98	"[(0, ""Let's"", '?', None, None, '0')]"
99	"[(0, ""Let's"", '?', None, None, '0')]"
101	[(7, 'his', '-7', 0, 'Charles', '7')]
102	[(4, 'his', '-4', 0, 'Christopher', '4'), (7, 'his', '-3', 4, 'his', '7')]
103	[(2, 'him', '+5', 7, 'Paul', '2')]
104	[(2, 'his', '-2', 0, 'Dexter', '2')]
106	[(2, 'his', '-2', 0, 'Edward', '2')]
107	[(0, 'She', '?', None, None, '0'), (4, 'him', '?', None, None, '4'), (7, 'her', '-7', 0, 'She', '7')]
108	[(0, 'They', '?', None, None, '0'), (8, 'them.', '-8', 0, 'They', '8')]
109	[(3, 'her', '?', None, None, '3')]
110	[(3, 'him', '?', None, None, '3')]
111	[(8, 'it.', '-4', 4, 'lead', '8')]
113	[(0, 'His', '?', None, None, '0'), (7, 'his', '-7', 0, 'His', '7')]
114	[(0, 'His', '?', None, None, '0'), (5, 'him', '-5', 0, 'His', '5'), (7, 'they', '-6', 1, 'men', '7')]
115	[(8, 'that', '?', None, None, '8')]
116	[(7, 'his', '-5', 2, 'Geoffrey', '7')]
117	[(4, 'his', '-4', 0, 'Jake', '4'), (7, 'she', '-1', 6, 'daughter,', '7')]
118	[(4, 'they', '?', None, None, '4'), (7, 'him', '-7', 0, 'Jimmy', '7')]
119	[(4, 'his', '-4', 0, 'Brian', '4'), (8, 'his', '-4', 4, 'his', '8')]
120	[(2, 'him', '+3', 5, 'Charlie', '2')]
121	[(9, 'it.', '?', None, None, '9')]
123	[(5, 'he', '-5', 0, 'Gilbert', '5'), (8, 'his', '-3', 5, 'he', '8')]
125	[(7, 'him', '-7', 0, 'Jamie', '7')]
126	[(7, 'his', '-7', 0, 'Joseph', '7')]
127	[(0, 'She', '?', None, None, '0'), (6, 'she', '-6', 0, 'She', '6')]
129	[(5, 'he', '-5', 0, 'Anthony', '5')]
130	[(5, 'her', '+1', 6, 'Ellen', '5')]
131	[(0, 'He', '?', None, None, '0')]
132	[(0, 'He', '?', None, None, '0'), (2, 'his', '-2', 0, 'He', '2')]
133	[(0, 'He', '?', None, None, '0'), (2, 'his', '-2', 0, 'He', '2'), (6, 'she', '-3', 3, 'mother', '6'), (9, 'his', '-7', 2, 'his', '9')]
134	[(0, 'He', '?', None, None, '0')]
135	[(0, 'His', '?', None, None, '0'), (5, 'he', '-5', 0, 'His', '5')]
136	[(3, 'he', '-3', 0, 'Ken', '3'), (6, 'his', '-3', 3, 'he', '6')]
137	[(5, 'his', '-5', 0, 'Lawrence', '5'), (9, 'his', '-4', 5, 'his', '9')]
138	[(6, 'her', '-2', 4, 'Lucy', '6'), (9, 'his', '-9', 0, 'Lewis', '9')]
139	[(6, 'his', '-6', 0, 'Matthew', '6'), (9, 'his', '-3', 6, 'his', '9')]
140	[(6, 'us', '?', None, None, '6')]
141	[(0, 'She', '?', None, None, '0'), (4, 'herself', '-4', 0, 'She', '4'), (5, 'he', '?', None, None, '5')]
142	[(0, 'She', '?', None, None, '0'), (7, 'her', '-7', 0, 'She', '7')]
145	[(0, 'We', '?', None, None, '0'), (9, 'this', '?', None, None, '9')]
146	[(1, 'they', '?', None, None, '1'), (4, 'their', '-3', 1, 'they', '4'), (8, 'them', '-4', 4, 'their', '8')]
147	[(10, 'that.', '?', None, None, '10')]
150	[(4, 'his', '?', None, None, '4'), (7, 'he', '-3', 4, 'his', '7')]
153	[(1, 'that', '?', None, None, '1')]
154	[(0, 'He', '?', None, None, '0'), (6, 'she', '?', None, None, '6'), (10, 'his', '-10', 0, 'He', '10')]
155	[(0, 'He', '?', None, None, '0')]
156	[(0, 'He', '?', None, None, '0'), (2, 'his', '-2', 0, 'He', '2'), (5, 'his', '-3', 2, 'his', '5'), (10, 'his', '-5', 5, 'his', '10')]
157	[(0, 'He', '?', None, None, '0'), (5, 'they', '?', None, None, '5'), (7, 'him', '-7', 0, 'He', '7'), (8, 'he', '-1', 7, 'him', '8')]
158	[(0, 'He', '?', None, None, '0'), (2, 'his', '-2', 0, 'He', '2'), (5, 'his', '-3', 2, 'his', '5')]
159	[(0, 'He', '?', None, None, '0'), (9, 'his', '-9', 0, 'He', '9')]
161	[(8, 'it', '-4', 4, 'victory', '8')]
162	[(7, 'his', '-4', 3, 'Mickey', '7'), (10, 'his', '-3', 7, 'his', '10')]
163	[(10, 'he', '-5', 5, 'Mike', '10')]
164	[(0, 'It', '?', None, None, '0')]
165	[(0, 'It', '?', None, None, '0'), (9, 'we', '?', None, None, '9')]
169	[(1, 'us', '?', None, None, '1')]
171	[(2, 'she', '?', None, None, '2')]
172	[(2, 'they', '?', None, None, '2'), (5, 'him', '-5', 0, 'Michael', '5'), (7, 'that', '-3', 4, 'hit', '7')]
173	[(3, 'he', '-3', 0, 'Alan', '3'), (10, 'his', '-7', 3, 'he', '10')]
174	[(8, 'it', '?', None, None, '8')]
175	[(0, 'She', '?', None, None, '0'), (6, 'this', '?', None, None, '6'), (8, 'she', '-8', 0, 'She', '8')]
176	[(5, 'her', '?', None, None, '5'), (8, 'she', '-3', 5, 'her', '8'), (10, 'it', '-8', 2, 'knife', '10')]
179	[(0, 'They', '?', None, None, '0'), (8, 'this', '-7', 1, 'stared', '8')]
180	[(0, 'They', '?', None, None, '0')]
181	[(0, 'We', '?', None, None, '0')]
183	[(2, 'her', '-2', 0, 'Emma', '2')]
185	[(11, 'his', '-11', 0, 'Bruce', '11')]
186	[(3, 'we', '?', None, None, '3'), (5, 'this', '?', None, None, '5')]
187	[(0, 'He', '?', None, None, '0'), (8, 'he', '-8', 0, 'He', '8'), (11, 'it', '-7', 4, 'door', '11')]
188	[(0, 'He', '?', None, None, '0'), (5, 'he', '-5', 0, 'He', '5')]
189	[(0, 'He', '?', None, None, '0')]
190	"[(0, ""He's"", '?', None, None, '0'), (7, 'he', '-7', 0, ""He's"", '7')]"
191	[(0, 'Her', '?', None, None, '0'), (12, 'her.', '-12', 0, 'Her', '12')]
192	[(11, 'this', '?', None, None, '11')]
193	[(6, 'they', '?', None, None, '6')]
194	[(9, 'it', '-3', 6, 'white', '9')]
195	[(4, 'he', '-4', 0, 'Andy', '4')]
196	[(3, 'his', '-3', 0, 'Arthur', '3'), (7, 'his', '-4', 3, 'his', '7')]
197	[(8, 'he', '-8', 0, 'Billy', '8')]
199	[(11, 'his', '-11', 0, 'Brian', '11')]
200	[(6, 'he', '-6', 0, 'Charlie', '6'), (11, 'his', '-5', 6, 'he', '11')]
201	[(3, 'she', '?', None, None, '3'), (5, 'her', '-2', 3, 'she', '5'), (8, 'their', '?', None, None, '8'), (12, 'them.', '-4', 8, 'their', '12')]
202	[(3, 'him', '?', None, None, '3'), (7, 'he', '-4', 3, 'him', '7')]
203	[(0, 'They', '?', None, None, '0'), (10, 'it', '-7', 3, 'talked', '10')]
204	[(3, 'they', '?', None, None, '3')]
205	[(7, 'they', '?', None, None, '7')]
207	[(0, 'He', '?', None, None, '0'), (12, 'his', '-12', 0, 'He', '12')]
208	[(0, 'He', '?', None, None, '0'), (4, 'he', '-4', 0, 'He', '4'), (6, 'it', '-4', 2, 'money', '6')]
209	[(0, 'He', '?', None, None, '0'), (3, 'his', '-3', 0, 'He', '3'), (13, 'him.', '-10', 3, 'his', '13')]
210	[(0, 'He', '?', None, None, '0'), (2, 'his', '-2', 0, 'He', '2'), (10, 'his', '-8', 2, 'his', '10'), (13, 'him.', '-10', 3, 'son', '13')]
212	[(5, 'his', '-5', 0, 'Chris', '5'), (9, 'him', '-6', 3, 'Eddie', '9')]
213	[(11, 'it', '-3', 8, 'truck', '11')]
214	[(5, 'his', '-5', 0, 'David', '5')]
215	[(7, 'him', '-7', 0, 'Dennis', '7'), (9, 'he', '-2', 7, 'him', '9')]
216	[(9, 'his', '-9', 0, 'Donald', '9'), (12, 'her', '-1', 11, 'sister', '12')]
217	[(9, 'his', '-9', 0, 'Frank', '9'), (12, 'his', '-3', 9, 'his', '12')]
218	[(10, 'his', '-10', 0, 'Fred', '10')]
219	[(5, 'they', '?', None, None, '5'), (7, 'him', '-7', 0, 'George', '7'), (11, 'him', '-4', 7, 'him', '11')]
220	[(6, 'himself', '-6', 0, 'Harry', '6')]
221	[(2, 'his', '-2', 0, 'Henry', '2')]
222	[(0, 'She', '?', None, None, '0'), (5, 'him', '?', None, None, '5'), (10, 'him', '-5', 5, 'him', '10')]
223	[(12, 'them', '?', None, None, '12')]
225	[(3, 'she', '?', None, None, '3'), (6, 'she', '-3', 3, 'she', '6')]
227	[(4, 'her', '?', None, None, '4'), (12, 'his', '-11', 1, 'speaker', '12')]
228	[(0, 'They', '?', None, None, '0'), (2, 'he', '?', None, None, '2')]
229	[(1, 'she', '?', None, None, '1'), (7, 'her', '-6', 1, 'she', '7'), (12, 'her', '-5', 7, 'her', '12')]
230	[(0, 'He', '?', None, None, '0'), (4, 'his', '-4', 0, 'He', '4'), (7, 'he', '-3', 4, 'his', '7'), (9, 'his', '-2', 7, 'he', '9'), (14, 'him.', '-5', 9, 'his', '14')]
231	[(0, 'He', '?', None, None, '0'), (13, 'their', '-10', 3, 'men', '13')]
232	[(0, 'He', '?', None, None, '0'), (3, 'he', '-3', 0, 'He', '3'), (9, 'his', '-6', 3, 'he', '9'), (13, 'his', '-4', 9, 'his', '13')]
233	[(0, 'He', '?', None, None, '0'), (6, 'he', '-6', 0, 'He', '6')]
234	[(0, 'He', '?', None, None, '0'), (2, 'his', '-2', 0, 'He', '2'), (11, 'it', '-3', 8, 'shoulder', '11')]
235	[(0, 'He', '?', None, None, '0'), (8, 'us', '?', None, None, '8')]
236	[(0, 'His', '?', None, None, '0'), (8, 'he', '-8', 0, 'His', '8')]
238	"[(7, ""they're"", '?', None, None, '7')]"
240	[(13, 'his', '-10', 3, 'agent', '13')]
241	[(1, 'this', '+7', 8, 'book', '1'), (9, 'this', '?', None, None, '9')]
242	[(4, 'it', '?', None, None, '4'), (7, 'that', '-4', 3, 'seen', '7')]
243	[(6, 'his', '-6', 0, 'Kevin', '6'), (10, 'his', '-4', 6, 'his', '10')]
244	[(10, 'it', '-3', 7, 'bucket', '10')]
245	[(5, 'him', '-5', 0, 'Ian', '5'), (10, 'him', '-5', 5, 'him', '10')]
246	[(10, 'it', '-9', 1, 'was', '10')]
247	[(8, 'they', '?', None, None, '8'), (10, 'him', '-9', 1, 'Jason', '10')]
248	[(0, 'That', '?', None, None, '0'), (2, 'he', '?', None, None, '2'), (9, 'he', '-7', 2, 'he', '9')]
249	[(1, 'his', '?', None, None, '1'), (5, 'he', '-4', 1, 'his', '5'), (10, 'they', '-8 + -6', None, None, '10')]
251	[(9, 'it', '-5', 4, 'suit', '9'), (12, 'her', '-12', 0, 'Jane', '12')]
253	[(0, 'He', '?', None, None, '0')]
254	[(0, 'He', '?', None, None, '0'), (11, 'his', '-11', 0, 'He', '11')]
255	[(7, 'we', '-3 + -7', None, None, '7')]
256	"[(1, 'they', '?', None, None, '1'), (8, 'those', '?', None, None, '8'), (13, 'they', '-12', 1, 'they', '13'), (14, ""ana-we'll[9](?)"", '?', None, None, 14)]"
257	[(2, 'he', '?', None, None, '2'), (11, 'he', '-9', 2, 'he', '11')]
258	[(6, 'him', '?', None, None, '6'), (12, 'his', '-6', 6, 'him', '12'), (15, 'that.', '?', None, None, '15')]
259	[(0, 'She', '?', None, None, '0')]
260	[(0, 'She', '?', None, None, '0')]
262	[(0, 'They', '?', None, None, '0')]
263	[(0, 'We', '?', None, None, '0')]
264	"[(3, 'they', '?', None, None, '3'), (7, ""they'll"", '-4', 3, 'they', '7'), (11, 'their', '-4', 7, ""they'll"", '11'), (14, 'they', '-3', 11, 'their', '14')]"
266	[(0, 'He', '?', None, None, '0'), (5, 'them', '?', None, None, '5')]
267	[(7, 'him,', '?', None, None, '7'), (8, 'he', '-1', 7, 'him,', '8'), (11, 'his', '-3', 8, 'he', '11'), (14, 'his', '-3', 11, 'his', '14')]
268	[(3, 'his', '-3', 0, 'Joe', '3'), (15, 'his', '-12', 3, 'his', '15')]
269	[(9, 'his', '-9', 0, 'Keith', '9')]
270	[(2, 'his', '-2', 0, 'Douglas', '2'), (5, 'his', '-2', 3, 'father', '5'), (15, 'they', '-10 + -13', None, None, '15')]
271	[(0, 'He', '?', None, None, '0'), (4, 'his', '-4', 0, 'He', '4'), (7, 'she', '-2', 5, 'mother', '7')]
272	[(0, 'He', '?', None, None, '0'), (4, 'himself', '-4', 0, 'He', '4'), (13, 'this', '?', None, None, '13'), (15, 'he', '-11', 4, 'himself', '15'), (17, 'it.', '-9', 8, 'stop', '17')]
273	[(0, 'He', '?', None, None, '0'), (14, 'him', '-14', 0, 'He', '14')]
274	[(0, 'He', '?', None, None, '0'), (2, 'his', '-2', 0, 'He', '2'), (5, 'his', '-3', 2, 'his', '5'), (13, 'his', '-8', 5, 'his', '13')]
275	[(0, 'He', '?', None, None, '0'), (17, 'it.', '-12', 5, 'pass', '17')]
276	[(0, 'He', '?', None, None, '0'), (13, 'he', '-13', 0, 'He', '13')]
277	[(17, 'it.', '?', None, None, '17')]
278	[(3, 'his', '-3', 0, 'Luke', '3'), (8, 'his', '-5', 3, 'his', '8'), (12, 'his', '-4', 8, 'his', '12')]
279	[(10, 'him', '-8', 2, 'Lewis', '10'), (13, 'his', '-3', 10, 'him', '13')]
280	[(3, 'his', '-3', 0, 'Mark', '3')]
282	[(16, 'his', '-15', 1, 'driver', '16')]
283	[(15, 'them', '-14', 1, 'people', '15')]
284	[(1, 'she', '?', None, None, '1'), (13, 'them', '-10 + -12', None, None, '13')]
286	[(13, 'he', '-13', 0, 'Damian', '13'), (16, 'he', '-3', 13, 'he', '16')]
287	[(7, 'it', '-3', 4, 'statement', '7'), (17, 'it', '-10', 7, 'it', '17')]
288	[(18, 'him.', '-18', 0, 'Dick', '18')]
289	[(4, 'his', '-4', 0, 'Henry', '4'), (14, 'his', '-6', 8, 'Neil', '14'), (17, 'his', '-3', 14, 'his', '17')]
290	[(0, 'He', '?', None, None, '0'), (7, 'him', '+5', 12, 'Robert', '7'), (9, 'his', '-2', 7, 'him', '9')]
291	[(0, 'He', '?', None, None, '0')]
294	[(6, 'they', '?', None, None, '6')]
295	[(15, 'him', '-5', 10, 'Patrick', '15')]
296	[(0, 'We', '?', None, None, '0'), (4, 'them', '?', None, None, '4'), (8, 'they', '-4', 4, 'them', '8')]
297	[(18, 'him', '-3', 15, 'Gerry', '18')]
298	[(6, 'his', '-6', 0, 'Graham', '6'), (12, 'that', '-12', 0, 'Graham', '12')]
299	[(17, 'his', '-17', 0, 'Harvey', '17')]
300	[(0, 'He', '?', None, None, '0'), (13, 'his', '-13', 0, 'He', '13')]
301	[(0, 'He', '?', None, None, '0'), (6, 'he', '-6', 0, 'He', '6'), (9, 'his', '-3', 6, 'he', '9'), (12, 'his', '-3', 9, 'his', '12')]
302	"[(0, 'He', '?', None, None, '0'), (10, 'it', '-7', 3, 'arm', '10'), (19, 'him.', '-5', 14, ""man's"", '19')]"
303	[(0, 'His', '?', None, None, '0'), (8, 'he', '-8', 0, 'His', '8')]
304	[(2, 'it', '?', None, None, '2')]
305	[(18, 'his', '-5', 13, 'Paul', '18')]
306	[(13, 'their', '-3', 10, 'army,', '13'), (18, 'them', '-4', 14, 'legs,', '18')]
307	[(0, 'They', '?', None, None, '0'), (4, 'their', '-4', 0, 'They', '4')]
308	[(0, 'They', '+12', 12, 'men', '0')]
309	[(13, 'their', '?', None, None, '13')]
310	[(0, 'We', '?', None, None, '0'), (4, 'this', '?', None, None, '4'), (12, 'our', '-12', 0, 'We', '12'), (18, 'our', '-6', 12, 'our', '18')]
311	[(0, 'He', '?', None, None, '0'), (10, 'he', '-10', 0, 'He', '10'), (20, 'it.', '-17', 3, 'axe', '20')]
312	[(0, 'He', '?', None, None, '0'), (11, 'their', '-5', 6, 'patrol', '11')]
313	[(9, 'his', '-1', 8, 'Morgan', '9'), (12, 'he', '-3', 9, 'his', '12'), (15, 'his', '-3', 12, 'he', '15')]
315	"[(1, 'himself', '?', None, None, '1'), (5, 'his', '-4', 1, 'himself', '5'), (16, ""that's"", '-16', 0, 'Putting', '16'), (20, 'him.', '-15', 5, 'his', '20')]"
316	[(0, 'They', '?', None, None, '0'), (4, 'this', '?', None, None, '4'), (12, 'their', '-12', 0, 'They', '12'), (17, 'they', '-5', 12, 'their', '17')]
317	[(3, 'he', '?', None, None, '3'), (6, 'he', '-3', 3, 'he', '6'), (16, 'he', '-10', 6, 'he', '16')]
318	[(0, 'He', '?', None, None, '0'), (7, 'his', '-7', 0, 'He', '7'), (11, 'his', '-4', 7, 'his', '11'), (16, 'he', '-5', 11, 'his', '16')]
319	"[(1, ""he'd"", '?', None, None, '1'), (6, 'he', '-5', 1, ""he'd"", '6'), (16, 'his', '-10', 6, 'he', '16'), (7, 'ana-the chopping block[13](-10)', 10, 3, 'block', 7)]"
321	[(2, 'herself', '-2', 0, 'Kate', '2'), (5, 'her', '-3', 2, 'herself', '5'), (7, 'her', '-2', 5, 'her', '7'), (16, 'her,', '-9', 7, 'her', '16'), (20, 'we', '-4 + ?', None, None, '20')]
322	[(0, 'He', '?', None, None, '0'), (11, 'his', '-11', 0, 'He', '11'), (21, 'his', '-10', 11, 'his', '21')]
324	"[(5, 'himself', '-5', 0, 'Peter', '5'), (6, 'his', '-1', 5, 'himself', '6'), (13, ""he'd"", '-7', 6, 'his', '13'), (21, 'he', '-8', 13, ""he'd"", '21')]"
325	[(15, 'its', '-8', 7, 'rattle', '15')]
326	[(3, 'his', '?', None, None, '3'), (5, 'he', '-2', 3, 'his', '5'), (8, 'her', '-4', 4, 'wife', '8'), (15, 'she', '-7', 8, 'her', '15')]
327	[(2, 'her', '-2', 0, 'Sue', '2'), (5, 'she', '-3', 2, 'her', '5')]
328	[(4, 'him', '?', None, None, '4'), (16, 'he', '-12', 4, 'him', '16')]
329	"[(7, 'his', '-7', 0, 'Phil', '7'), (13, 'she', '-5', 8, 'mum', '13'), (15, ""he'd"", '-4', 11, 'Nigel', '15'), (17, 'him', '-10', 7, 'his', '17')]"
330	[(16, 'she', '-8', 8, 'Laura,', '16')]
331	[(8, 'it', '-1', 7, 'gossip,', '8')]
332	[(18, 'her', '-18', 0, 'Mary', '18')]
333	[(6, 'she', '-6', 0, 'Sarah', '6'), (17, 'she', '-11', 6, 'she', '17')]
334	[(0, 'He', '?', None, None, '0'), (12, 'his', '-12', 0, 'He', '12'), (15, 'he', '-3', 12, 'his', '15'), (17, 'he', '-2', 15, 'he', '17'), (24, 'it.', '-19', 5, 'job', '24')]
335	"[(1, 'he', '?', None, None, '1'), (7, ""he'll"", '-6', 1, 'he', '7'), (9, 'their', '?', None, None, '9'), (16, 'their', '-7', 9, 'their', '16'), (20, 'them', '-6', 14, 'ashes', '20')]"
337	[(12, 'his', '-5', 7, 'Patrick', '12'), (17, 'his', '-5', 12, 'his', '17')]
338	[(14, 'his', '-14', 0, 'Richard', '14'), (23, 'his', '-9', 14, 'his', '23')]
339	[(11, 'one', '-8', 3, 'television', '11')]
340	[(10, 'they', '?', None, None, '10'), (15, 'their', '-5', 10, 'they', '15')]
341	[(6, 'she', '-6', 0, 'Susan', '6'), (14, 'itself', '-5', 9, 'pet', '14'), (17, 'it', '-3', 14, 'itself', '17'), (19, 'her,', '-13', 6, 'she', '19'), (22, 'her', '-3', 19, 'her,', '22')]
342	[(4, 'he', '+8', 12, 'Robert', '4'), (14, 'he', '-2', 12, 'Robert', '14'), (19, 'he', '-5', 14, 'he', '19'), (22, 'his', '-3', 19, 'he', '22')]
343	[(0, 'He', '+8', 8, 'Ian', '0'), (5, 'his', '-5', 0, 'He', '5'), (11, 'his', '-3', 8, 'Ian', '11'), (17, 'it', '-5', 12, 'foot', '17')]
344	[(10, 'his', '-3', 7, 'Ross', '10'), (15, 'his', '-5', 10, 'his', '15')]
345	[(8, 'his', '-8', 0, 'Sam', '8'), (11, 'his', '-3', 8, 'his', '11'), (15, 'his', '-4', 11, 'his', '15'), (18, 'them', '-9', 9, 'knees', '18'), (21, 'his', '-6', 15, 'his', '21'), (25, 'them.', '-7', 18, 'them', '25')]
346	[(2, 'he', '?', None, None, '2'), (6, 'his', '-4', 2, 'he', '6'), (10, 'his', '-4', 6, 'his', '10'), (15, 'he', '-5', 10, 'his', '15'), (24, 'his', '-9', 15, 'he', '24')]
347	[(2, 'we', '?', None, None, '2'), (7, 'our', '-5', 2, 'we', '7'), (23, 'we', '-16', 7, 'our', '23')]
348	[(2, 'she', '?', None, None, '2'), (9, 'she', '-7', 2, 'she', '9'), (12, 'it', '-5', 7, 'gate', '12'), (25, 'it', '-13', 12, 'it', '25')]
349	[(0, 'He', '?', None, None, '0'), (11, 'he', '-11', 0, 'He', '11'), (15, 'that', '-13', 2, 'felt', '15'), (18, 'him', '-7', 11, 'he', '18')]
350	[(11, 'him', '?', None, None, '11')]
351	[(0, 'She', '?', None, None, '0')]
352	[(3, 'he', '?', None, None, '3'), (8, 'his', '-5', 3, 'he', '8'), (25, 'his', '-17', 8, 'his', '25')]
353	[(6, 'him', '?', None, None, '6')]
354	[(11, 'them', '-6', 5, 'dishes', '11')]
355	[(3, 'it', '-1', 2, 'morning', '3')]
356	[(1, 'she', '?', None, None, '1'), (10, 'she', '-9', 1, 'she', '10'), (31, 'it.', '-16', 15, 'hair', '31')]
357	"[(8, 'his', '-8', 0, 'Simon', '8'), (11, 'his', '-3', 8, 'his', '11'), (16, 'his', '-5', 11, 'his', '16'), (18, 'he', '-2', 16, 'his', '18'), (20, 'she', '-3', 17, 'mum,', '20'), (27, ""they'd"", '-7 + ?', None, None, '27'), (31, 'him', '-13', 18, 'he', '31')]"
358	[(24, 'it', '-3', 21, 'morning', '24'), (32, 'it', '-8', 24, 'it', '32')]
359	[(0, 'He', '+12', 12, 'Steve', '0'), (2, 'his', '-2', 0, 'He', '2'), (8, 'them', '-4', 4, 'books', '8'), (14, 'he', '-2', 12, 'Steve', '14'), (16, 'his', '-2', 14, 'he', '16'), (28, 'he', '-10', 18, 'Kenneth', '28'), (32, 'their', '-4 + -16', None, None, '32')]
360	[(8, 'his', '-8', 0, 'Tom', '8'), (12, 'it', '?', None, None, '12'), (16, 'him', '-8', 8, 'his', '16'), (25, 'him', '-9', 16, 'him', '25'), (26, 'he', '-1', 25, 'him', '26'), (30, 'he', '-4', 26, 'he', '30'), (32, 'it', '-3', 29, 'visitor', '32'), (34, 'his', '-4', 30, 'he', '34')]
361	[(0, 'She', '?', None, None, '0'), (20, 'it', '+3', 23, 'let', '20'), (22, 'he', '-15', 7, 'Tony', '22'), (24, 'her', '-24', 0, 'She', '24'), (29, 'she', '-5', 24, 'her', '29')]
